threads time
01 24
01 25
01 25
01 25
01 25
01 25
01 25
01 25
01 25
01 24
01 25
01 24
01 25
01 25
01 25
01 25
01 25
01 25
01 25
01 24
01 25
01 24
01 25
01 25
01 25
01 25
01 24
01 25
01 25
01 25
01 24
01 25
01 25
01 24
01 25
01 25
01 25
01 25
01 25
01 25
01 27
01 27
01 26
01 26
01 25
01 27
01 26
01 27
01 26
01 28
02 39
02 67
02 48
02 71
02 53
02 64
02 57
02 45
02 66
02 43
02 38
02 25
02 27
02 29
02 30
02 26
02 25
02 39
02 32
02 25
02 26
02 36
02 33
02 34
02 40
02 29
02 31
02 27
02 35
02 36
02 28
02 27
02 25
02 27
02 33
02 28
02 25
02 31
02 27
02 30
02 33
02 26
02 24
02 33
02 27
02 25
02 29
02 36
02 25
02 25
03 73
03 70
03 85
03 80
03 76
03 87
03 87
03 89
03 86
03 88
03 87
03 88
03 86
03 76
03 88
03 87
03 91
03 91
03 91
03 90
03 87
03 87
03 89
03 92
03 89
03 84
03 87
03 87
03 82
03 87
03 88
03 88
03 86
03 86
03 85
03 88
03 89
03 89
03 92
03 81
03 85
03 83
03 88
03 91
03 87
03 96
03 87
03 81
03 86
03 91
04 63
04 153
04 63
04 61
04 63
04 67
04 68
04 62
04 67
04 66
04 65
04 65
04 68
04 66
04 71
04 74
04 69
04 71
04 66
04 69
04 65
04 63
04 67
04 65
04 64
04 68
04 67
04 70
04 69
04 69
04 70
04 72
04 70
04 68
04 71
04 74
04 78
04 75
04 78
04 74
04 71
04 78
04 75
04 80
04 71
04 68
04 76
04 74
04 69
04 70
05 89
05 110
05 93
05 92
05 93
05 89
05 77
05 93
05 90
05 91
05 92
05 93
05 95
05 89
05 94
05 94
05 94
05 89
05 90
05 91
05 92
05 93
05 95
05 88
05 91
05 91
05 92
05 91
05 73
05 92
05 90
05 92
05 89
05 89
05 92
05 93
05 95
05 90
05 90
05 90
05 92
05 92
05 92
05 92
05 95
05 94
05 91
05 92
05 96
05 93
06 128
06 132
06 130
06 129
06 129
06 129
06 132
06 130
06 131
06 127
06 130
06 129
06 136
06 125
06 130
06 128
06 126
06 127
06 133
06 131
06 127
06 130
06 130
06 130
06 134
06 135
06 130
06 133
06 139
06 133
06 129
06 131
06 130
06 124
06 134
06 129
06 129
06 131
06 128
06 131
06 129
06 126
06 127
06 129
06 127
06 127
06 130
06 129
06 124
06 130
07 161
07 147
07 157
07 154
07 107
07 150
07 117
07 133
07 137
07 155
07 142
07 139
07 147
07 124
07 136
07 148
07 131
07 122
07 151
07 149
07 130
07 127
07 138
07 147
07 142
07 148
07 156
07 151
07 146
07 112
07 155
07 152
07 132
07 144
07 127
07 127
07 138
07 143
07 143
07 142
07 102
07 133
07 141
07 136
07 142
07 102
07 136
07 120
07 128
07 129
08 127
08 127
08 111
08 121
08 96
08 135
08 123
08 96
08 96
08 115
08 105
08 96
08 109
08 119
08 104
08 112
08 101
08 119
08 133
08 109
08 109
08 121
08 101
08 134
08 108
08 112
08 139
08 127
08 136
08 123
08 117
08 113
08 130
08 109
08 115
08 117
08 132
08 106
08 113
08 109
08 126
08 143
08 139
08 142
08 120
08 113
08 120
08 119
08 112
08 135
09 113
09 98
09 105
09 93
09 112
09 110
09 121
09 104
09 95
09 90
09 97
09 99
09 108
09 95
09 105
09 107
09 98
09 107
09 108
09 92
09 92
09 94
09 106
09 91
09 101
09 105
09 109
09 105
09 111
09 94
09 91
09 108
09 107
09 90
09 124
09 107
09 115
09 104
09 113
09 91
09 97
09 109
09 111
09 104
09 92
09 91
09 115
09 90
09 112
09 92
10 82
10 96
10 77
10 130
10 96
10 78
10 111
10 88
10 107
10 103
10 100
10 84
10 93
10 83
10 84
10 86
10 99
10 83
10 107
10 104
10 99
10 93
10 103
10 103
10 98
10 82
10 94
10 95
10 106
10 96
10 84
10 99
10 110
10 102
10 94
10 104
10 108
10 96
10 91
10 103
10 104
10 83
10 97
10 84
10 95
10 68
10 73
10 70
10 74
10 68
11 80
11 80
11 109
11 95
11 76
11 78
11 81
11 72
11 83
11 80
11 74
11 72
11 76
11 73
11 85
11 78
11 73
11 76
11 73
11 79
11 80
11 78
11 74
11 81
11 76
11 75
11 74
11 76
11 93
11 73
11 77
11 77
11 86
11 70
11 82
11 72
11 79
11 80
11 77
11 81
11 74
11 78
11 73
11 79
11 74
11 76
11 77
11 79
11 78
11 74
12 76
12 74
12 82
12 70
12 74
12 91
12 66
12 78
12 75
12 88
12 66
12 75
12 76
12 73
12 70
12 75
12 79
12 69
12 76
12 75
12 83
12 81
12 95
12 77
12 75
12 79
12 82
12 76
12 72
12 80
12 83
12 77
12 72
12 71
12 68
12 86
12 82
12 71
12 85
12 77
12 70
12 82
12 93
12 78
12 75
12 78
12 82
12 91
12 76
12 100
13 70
13 84
13 71
13 70
13 65
13 76
13 93
13 69
13 92
13 71
13 69
13 76
13 80
13 72
13 79
13 75
13 74
13 75
13 82
13 79
13 76
13 75
13 71
13 83
13 68
13 73
13 75
13 72
13 66
13 69
13 95
13 71
13 79
13 72
13 71
13 73
13 75
13 70
13 64
13 75
13 72
13 65
13 75
13 73
13 83
13 74
13 72
13 77
13 73
13 76
14 76
14 78
14 76
14 90
14 77
14 87
14 78
14 66
14 62
14 79
14 74
14 78
14 70
14 67
14 77
14 72
14 77
14 79
14 69
14 70
14 101
14 99
14 78
14 69
14 92
14 76
14 70
14 67
14 81
14 70
14 63
14 77
14 78
14 75
14 74
14 75
14 75
14 82
14 100
14 70
14 94
14 88
14 101
14 95
14 81
14 69
14 79
14 81
14 84
14 83
