1 47
2 44
3 118
4 155
5 217
6 210
7 232
8 232
9 235
10 222
11 208
12 221
13 237
14 251
1 47
2 38
3 99
4 157
5 199
6 208
7 222
8 242
9 228
10 225
11 219
12 219
13 250
14 248
1 46
2 54
3 81
4 153
5 212
6 213
7 224
8 241
9 227
10 224
11 217
12 220
13 240
14 249
1 44
2 67
3 114
4 137
5 199
6 212
7 213
8 220
9 221
10 210
11 223
12 225
13 229
14 255
1 46
2 58
3 123
4 140
5 191
6 204
7 210
8 224
9 221
10 214
11 206
12 224
13 226
14 254
1 45
2 53
3 109
4 129
5 206
6 200
7 210
8 214
9 220
10 216
11 227
12 203
13 235
14 242
